"cpg","estimate","se","p.value"
"cg03139388","-0.00022955","5.51e-05",3.32e-05
"cg03152187","-0.00037167","4.53e-05",6.78e-16
"cg03155999","-7.82e-05","2.69e-05",0.00366
"cg03158606","-9.47e-05","2.75e-05",0.000591
"cg03160526","-0.00063325","0.0001689",0.000187
"cg03163819","-0.00025842","7.66e-05",0.000768
"cg03164243","-0.00021602","7.49e-05",0.00401
"cg03169180","0.00046852","9.04e-05",2.59e-07
"cg03170343","-0.0001896","5.84e-05",0.00119
"cg03179291","-0.00025091","7.88e-05",0.00149
"cg03182218","-0.00012243","3.71e-05",0.000998
"cg03192551","-4.74e-05","1.51e-05",0.00172
"cg03214325","-0.0002714","7.11e-05",0.000142
"cg03216781","-8.11e-05","2.89e-05",0.00508
"cg03221483","-0.0003553","0.00011493",0.00204
"cg03228385","-0.00016814","5.81e-05",0.00386
"cg03232051","-7.39e-05","2.75e-05",0.00739
"cg03233624","0.00114887","0.00017086",2.89e-11
"cg03236137","-0.00026402","3.9e-05",2.15e-11
"cg03237218","0.00040049","0.00013329",0.00272
"cg03238702","0.00055245","0.00018818",0.0034
"cg03244997","-0.00051689","0.00015063",0.000623
"cg03253303","0.00054598","0.00011043",8.9e-07
"cg03254137","-0.00036455","6.56e-05",3.39e-08
"cg03260240","-0.0002909","5.65e-05",3.13e-07
"cg03263117","-0.00014203","4.07e-05",0.00051
"cg03273320","-0.00013947","3.58e-05",0.000104
"cg03273420","-0.00023129","7.96e-05",0.00374
"cg03276401","-0.00049378","0.00011773",2.97e-05
"cg03276422","-0.00020672","5.1e-05",5.34e-05
"cg03290213","0.00028737","8.09e-05",0.000399
"cg03297901","-0.00123877","0.00017011",6.42e-13
"cg03303655","-0.0003592","9.81e-05",0.000261
"cg03325014","-0.00053385","0.00017793",0.00276
"cg03348857","-0.0001547","4.2e-05",0.000239
"cg03354476","-0.00037833","8.6e-05",1.2e-05
"cg03363653","-0.00037157","5.51e-05",2.59e-11
"cg03366884","-0.00035958","8.72e-05",4e-05
"cg03376089","-0.00023299","6.69e-05",0.000512
"cg03383061","-0.00015334","3.02e-05",4.66e-07
"cg03405260","-0.00011204","3.68e-05",0.00242
"cg03418876","-0.00050241","0.00016665",0.00263
"cg03422895","-0.00021243","6.89e-05",0.00211
"cg03427841","-0.0002824","9.53e-05",0.00312
"cg03431918","-0.00039783","9.99e-05",7.25e-05
"cg03433048","-0.00127738","0.00013244",3.77e-21
"cg03445310","-0.00027979","0.00010094",0.00567
"cg03460756","0.00106823","0.00011601",1.75e-19
"cg03461967","-0.00018572","3.87e-05",1.81e-06
"cg03469804","-0.0004178","9.6e-05",1.47e-05
"cg03499775","-7.03e-05","2.58e-05",0.00656
"cg03508063","-0.00061571","0.00010048",1.26e-09
"cg03526142","-0.00075116","0.00014842",4.92e-07
"cg03529015","-0.00012827","3.16e-05",5.21e-05
"cg03533256","-0.00030134","0.00010798",0.00535
"cg03550284","-0.00016","5.64e-05",0.00466
"cg03554335","0.00038855","0.00013812",0.005
"cg03571301","-0.00021438","7.33e-05",0.00351
"cg03580872","-0.00023536","8.11e-05",0.0038
"cg03582285","-0.00041097","0.00014498",0.00467
"cg03582371","-5.8e-05","2.13e-05",0.00651
"cg03613649","0.0003008","0.00010701",0.00503
"cg03625300","-0.00017022","3.4e-05",6.46e-07
"cg03627958","-0.00016495","4.77e-05",0.000562
"cg03631294","-0.00047255","7.09e-05",4.25e-11
"cg03639223","0.00033577","7.41e-05",6.62e-06
"cg03642463","-0.00012585","4.1e-05",0.00221
"cg03644378","-0.00010143","2.79e-05",0.000295
"cg03649497","-0.00019092","6.11e-05",0.00183
"cg03656092","-0.00010962","3.37e-05",0.00116
"cg03659961","0.00021379","5.94e-05",0.000334
"cg03660034","-0.00025011","9.08e-05",0.00599
"cg03662398","0.00046531","9.98e-05",3.5e-06
"cg03666441","-0.0007001","0.0001936",0.000313
"cg03679398","-0.00012734","4.57e-05",0.00543
"cg03700135","-0.00027791","8.38e-05",0.000937
"cg03706951","-0.00027321","2.88e-05",1.74e-20
"cg03709925","0.00025177","8.2e-05",0.00218
"cg03710029","-0.00038266","0.00012246",0.00183
"cg03715070","-0.00026809","8.47e-05",0.0016
"cg03716313","-0.00011954","4.39e-05",0.00654
"cg03718528","-9.42e-05","3.52e-05",0.0076
"cg03721291","-0.0002008","6.91e-05",0.00374
"cg03721976","-7.05e-05","2.39e-05",0.00326
"cg03724728","0.0002559","8.86e-05",0.00395
"cg03726437","-0.00011409","3.04e-05",0.000182
"cg03726858","0.00042249","0.00010953",0.000122
"cg03732506","-0.00027016","6.73e-05",6.38e-05
"cg03739102","-7.06e-05","2.08e-05",0.000701
"cg03746851","-0.00018587","6.1e-05",0.00236
"cg03748503","-0.00010079","3.17e-05",0.00153
"cg03751911","-0.00028728","9.52e-05",0.0026
"cg03752138","0.0003205","9.37e-05",0.000651
"cg03762242","-0.00033673","0.00011158",0.00261
"cg03791861","-0.00017955","6.04e-05",0.00302
"cg03794801","-0.0002283","6.23e-05",0.00026
"cg03804148","-0.00012044","4.47e-05",0.0072
"cg03808007","-0.00037732","0.00010306",0.000264
"cg03816592","-6.89e-05","2.18e-05",0.00166
"cg03837627","-9.4e-05","3.04e-05",0.00207
"cg03838635","-0.00010063","3.22e-05",0.0018
"cg03840467","0.0001754","4.92e-05",0.000383
"cg03841638","-0.00023854","7.3e-05",0.00113
"cg03848580","-0.00098589","0.00012862",4.05e-14
"cg03859673","-0.00012862","2.95e-05",1.38e-05
"cg03871754","0.00026506","7.38e-05",0.000344
"cg03874868","-0.00010106","2.75e-05",0.000249
"cg03877174","-0.00022311","7.59e-05",0.00334
"cg03890538","-0.00015392","4.22e-05",0.00028
"cg03891384","-0.00037026","0.00013252",0.0053
"cg03909504","-0.00031193","0.00010958",0.0045
"cg03916756","-0.00017702","5.51e-05",0.00134
"cg03917100","-0.00025683","6.38e-05",6.13e-05
"cg03926640","0.00054947","0.00011685",2.91e-06
"cg03930477","-0.00010633","3.94e-05",0.00702
"cg03930837","-0.00014031","5.09e-05",0.00593
"cg03950492","-0.00021323","7.96e-05",0.00753
"cg03953714","-7.26e-05","2.49e-05",0.00359
"cg03953828","-0.00023304","8.04e-05",0.00383
"cg03956820","0.0002523","7.55e-05",0.000864
"cg03961998","-0.00042202","0.00012965",0.00117
"cg03963689","0.00024542","5.9e-05",3.42e-05
"cg03982355","-0.00017114","5.4e-05",0.00158
"cg03989507","0.00103432","0.00017671",6.44e-09
"cg03992651","0.00038547","0.00014266",0.007
"cg04005334","-0.00039445","8.34e-05",2.54e-06
"cg04036329","0.00049223","0.0001122",1.26e-05
"cg04055490","-0.00056916","9.6e-05",4.21e-09
"cg04060163","-0.00010222","3.62e-05",0.00484
"cg04071967","0.00033144","9.11e-05",0.000289
"cg04078585","-0.00010465","2.85e-05",0.000249
"cg04106630","-0.0001553","5.19e-05",0.00285
"cg04117356","-0.00031998","8.16e-05",9.35e-05
"cg04136369","0.00054998","0.00012038",5.49e-06
"cg04142643","-7.29e-05","1.88e-05",0.00011
"cg04154812","-9.27e-05","3.39e-05",0.0063
"cg04157161","0.00125351","0.00021338",5.69e-09
"cg04157865","0.00055835","0.00011746",2.28e-06
"cg04163696","-0.00012139","4.23e-05",0.00417
"cg04172640","-0.00023618","4.49e-05",1.74e-07
"cg04176246","-0.00062731","7.77e-05",1.8e-15
"cg04179438","-0.00048042","0.00012013",6.8e-05
"cg04191236","-0.00012916","3.3e-05",9.57e-05
"cg04193923","0.00056648","0.00010802",1.9e-07
"cg04196298","-0.00041561","6.5e-05",2.38e-10
"cg04197239","-9.41e-05","3.44e-05",0.00641
"cg04203950","-0.00010605","3.01e-05",0.000439
"cg04209460","0.00048636","0.00013979",0.000523
"cg04215055","-0.00026016","6.07e-05",2.02e-05
"cg04216466","-0.00010462","3.72e-05",0.00505
"cg04225089","-0.00015852","4.78e-05",0.000954
"cg04272820","-0.00159519","0.00011466",1.63e-40
"cg04279801","0.00048269","0.00011093",1.49e-05
"cg04293307","-0.00065044","0.00014619",9.54e-06
"cg04307297","-0.00014759","3.99e-05",0.000229
"cg04308167","0.00041904","9.14e-05",5.09e-06
"cg04309025","-0.00014845","3.74e-05",7.72e-05
"cg04324276","-0.00047756","9.52e-05",6.12e-07
"cg04326269","-0.00012135","4.37e-05",0.00556
"cg04352305","0.00058426","0.00017939",0.00116
"cg04354393","-0.0002256","5.7e-05",8.18e-05
"cg04369100","-0.00012675","3.68e-05",0.000592
"cg04371818","-0.00014676","5.39e-05",0.0066
"cg04375931","-0.00014133","4.79e-05",0.00324
"cg04378182","0.00074509","0.00016185",4.66e-06
"cg04379055","0.00038144","6.21e-05",1.17e-09
"cg04383154","-0.00016785","4.67e-05",0.000338
"cg04384031","-0.00095744","9.43e-05",3.75e-23
"cg04387477","-0.00034736","9.54e-05",0.000283
"cg04387597","-0.00072459","0.00011736",9.48e-10
"cg04397137","-0.00026861","9.03e-05",0.003
"cg04407929","-0.00013062","3.8e-05",0.000604
"cg04413853","0.00064303","0.00013441",1.96e-06
"cg04414274","-0.00017279","2.97e-05",7.66e-09
"cg04432599","-0.00030935","9.07e-05",0.000669
"cg04442638","-0.00063631","0.00011585",4.96e-08
"cg04455639","-0.00015362","5.07e-05",0.00252
"cg04460362","-8.44e-05","3.01e-05",0.00517
"cg04461745","-0.00083473","0.00018482",7e-06
"cg04464719","0.0004653","7.7e-05",2.08e-09
"cg04467549","0.00015254","4.42e-05",0.000587
"cg04478015","-0.00031605","9.43e-05",0.000836
"cg04482712","-0.00025389","7.57e-05",0.000823
"cg04482798","-0.00015549","5.83e-05",0.00774
"cg04486417","-4.56e-05","1.6e-05",0.00452
"cg04498198","0.00071898","0.00024419",0.00331
"cg04510155","-6.75e-05","2.23e-05",0.00254
"cg04511534","-0.00022628","6.22e-05",0.000288
"cg04514255","-0.00052486","0.00016046",0.00111
"cg04519916","-0.00030317","9.93e-05",0.00231
"cg04521626","-0.00201617","0.00015773",7.05e-35
"cg04522575","0.00062852","0.00010795",7.7e-09
"cg04528771","-0.00016657","3.12e-05",1.19e-07
"cg04529938","-0.00042092","6.3e-05",3.72e-11
"cg04537941","-0.00012609","3.41e-05",0.000231
"cg04551967","-8.59e-05","3.22e-05",0.00765
"cg04556938","-0.00025653","7.69e-05",0.000877
"cg04577809","-0.00011862","4.33e-05",0.00625
"cg04587617","-0.00011179","3.31e-05",0.000767
"cg04590184","-9.15e-05","3.4e-05",0.00721
"cg04591732","-0.00019432","4.16e-05",3.29e-06
"cg04593538","0.00046547","8.18e-05",1.67e-08
"cg04598300","-9.72e-05","2.96e-05",0.00106
"cg04602992","-0.00035736","5.6e-05",2.57e-10
"cg04603818","-0.0002192","7.1e-05",0.00208
"cg04607032","-9.88e-05","3.55e-05",0.00545
"cg04611801","-0.00051668","9.03e-05",1.38e-08
"cg04613258","0.00038368","0.00011407",0.000797
"cg04635736","-7.54e-05","2.69e-05",0.00514
"cg04658021","-0.00088516","0.00011273",1.01e-14
"cg04661929","-0.00030805","8.88e-05",0.000547
"cg04665204","-0.00055052","0.00010564",2.26e-07
"cg04674060","-0.00027862","9.53e-05",0.00353
"cg04698199","-9.35e-05","2.96e-05",0.00161
"cg04722643","-0.00024162","5.46e-05",1.06e-05
"cg04734712","-0.00031003","6.92e-05",8.39e-06
"cg04734784","-0.00048038","7.38e-05",1.18e-10
"cg04743510","-0.00028618","8e-05",0.000365
"cg04757284","-5.14e-05","1.91e-05",0.0072
"cg04770088","-0.00013738","4.55e-05",0.00258
"cg04784499","-7.17e-05","2.64e-05",0.00673
"cg04797957","-0.00093583","9.47e-05",4.37e-22
"cg04806562","-0.00079165","9.82e-05",1.97e-15
"cg04809787","-8.54e-05","2.5e-05",0.000658
"cg04847146","-0.00010028","2.54e-05",8.33e-05
"cg04848235","-0.00013152","3.73e-05",0.000439
"cg04848925","-5.48e-05","1.94e-05",0.00484
"cg04851314","-0.00011521","4.07e-05",0.00475
"cg04862002","0.00042108","0.00013348",0.00165
"cg04872113","-6.7e-05","2.42e-05",0.00567
"cg04877780","-6.2e-05","2.14e-05",0.00393
"cg04878851","-0.00017921","6.27e-05",0.00432
"cg04879235","-0.00026079","7.08e-05",0.000243
"cg04882398","-0.00013265","4.94e-05",0.00734
"cg04920452","0.00093869","0.0001085",1.88e-17
"cg04927033","0.00023842","8.43e-05",0.00479
"cg04927537","-0.00084108","0.00015498",7.11e-08
"cg04934652","-0.00013806","4.49e-05",0.00215
"cg04938107","-0.00013068","4.03e-05",0.0012
"cg04945945","-0.00039744","9.36e-05",2.38e-05
"cg04946721","-0.00018337","6.57e-05",0.00538
"cg04947157","-8.13e-05","3e-05",0.00687
"cg04956254","-0.00064095","0.00012476",3.32e-07
"cg04958703","-0.00022806","8.17e-05",0.00535
"cg04960169","-0.00050695","0.00010506",1.6e-06
"cg04970064","-0.00075898","9.39e-05",1.77e-15
"cg04970158","-0.00014557","3.45e-05",2.66e-05
"cg04970434","-0.00017511","6.42e-05",0.00653
"cg04971036","-0.00014713","4.76e-05",0.00206
"cg04972436","-0.00032453","7.98e-05",5.16e-05
"cg04974290","-0.00011455","3.16e-05",0.000307
"cg04986591","-0.00037607","0.00012597",0.0029
"cg04987362","0.00039059","0.00014443",0.00696
"cg04999824","0.00014791","5.1e-05",0.0038
"cg04999902","0.00028045","9.85e-05",0.00451
"cg05000772","-0.00015896","5.93e-05",0.00746
"cg05004973","0.00023398","8.73e-05",0.00747
"cg05005659","-0.00019385","5.76e-05",0.000795
"cg05012902","-0.00034016","7.25e-05",3.04e-06
"cg05021636","0.00038109","0.00012804",0.00298
"cg05043557","0.00035759","8.1e-05",1.12e-05
"cg05046936","-0.00032136","6.26e-05",3.42e-07
"cg05047486","-0.00015397","3.98e-05",0.000115
"cg05051734","-0.00010028","3.23e-05",0.00196
"cg05053327","0.00066595","0.00011175",3.45e-09
"cg05058886","-0.00012743","2.95e-05",1.66e-05
"cg05059607","-0.00186147","0.00016239",9.54e-29
"cg05063952","0.00050446","7.26e-05",6.32e-12
"cg05088605","-0.00018772","5.33e-05",0.000449
"cg05092310","-0.00010894","3.33e-05",0.0011
"cg05105919","-0.00022811","3.59e-05",2.99e-10
"cg05148465","-0.00031196","0.00010468",0.00295
"cg05157970","-0.00013295","4.19e-05",0.00154
"cg05162031","-0.0002989","8.45e-05",0.000423
"cg05164926","-0.00063189","0.00022322",0.00473
"cg05174446","-0.00032128","8.89e-05",0.000314
"cg05205736","-0.00023594","4.94e-05",2.04e-06
"cg05212260","0.00019717","6.89e-05",0.00429
"cg05229454","-0.00056909","0.00019326",0.0033
"cg05232479","-6.73e-05","2.46e-05",0.00634
"cg05250241","-6.83e-05","2.13e-05",0.0014
"cg05251593","-0.00027108","8.11e-05",0.000859
"cg05253759","-0.0003697","8.17e-05",6.69e-06
"cg05266212","-0.0009247","0.00023383",8.18e-05
"cg05294455","0.00148902","0.00013852",1.22e-25
"cg05300378","0.00040993","0.00010194",6.2e-05
"cg05302784","-5.13e-05","1.84e-05",0.0054
"cg05303739","-0.00026992","8.42e-05",0.00138
"cg05310240","0.00081598","0.00013892",5.7e-09
"cg05322982","-9.03e-05","2.56e-05",0.000446
"cg05323898","-0.00011185","2.91e-05",0.000128
"cg05338930","-8.87e-05","3.12e-05",0.00458
"cg05347965","-0.0002801","7.94e-05",0.00044
"cg05356099","0.00027397","9.08e-05",0.00261
"cg05363938","0.00048416","0.00010155",2.12e-06
"cg05364411","-0.00035168","7.65e-05",4.8e-06
"cg05374451","0.00019583","5.46e-05",0.000354
"cg05376810","-0.00012591","2.55e-05",9.59e-07
"cg05379350","-0.00063805","0.00011752",7.02e-08
"cg05380734","-0.0003323","9.73e-05",0.000659
"cg05390927","-0.00019973","6.27e-05",0.00148
"cg05395366","-0.00014861","5.46e-05",0.00658
"cg05399244","-0.00066332","0.0001507",1.18e-05
"cg05407338","0.00077721","0.0001433",7.24e-08
"cg05432794","-5.32e-05","1.96e-05",0.00678
"cg05442717","-0.00030425","8.58e-05",0.000405
"cg05446253","-7.77e-05","2.38e-05",0.00115
"cg05447343","-0.00024103","8.83e-05",0.00644
"cg05449190","0.00045807","0.00013351",0.000625
"cg05467716","-0.00029359","8.33e-05",0.000445
"cg05469574","-0.00023618","6.16e-05",0.000133
"cg05473018","0.00024075","8.86e-05",0.00669
"cg05478407","-0.00024468","8.41e-05",0.0037
"cg05478824","0.00028836","8.23e-05",0.000476
"cg05483571","-0.00070926","9.92e-05",1.66e-12
"cg05488523","-6.22e-05","2.33e-05",0.00765
"cg05493356","-6.76e-05","2.49e-05",0.00665
"cg05503916","-9.11e-05","3e-05",0.00249
"cg05504117","0.00044778","0.00014553",0.00215
"cg05508862","-0.00041539","9.21e-05",7.15e-06
"cg05513208","-0.00021093","6.62e-05",0.0015
"cg05514299","-0.00177007","0.00015324",3.84e-29
"cg05514680","-0.00035343","6.07e-05",7.6e-09
"cg05526498","-0.000929","9.64e-05",3.91e-21
"cg05548508","-7.4e-05","2.55e-05",0.00375
"cg05548912","-9.42e-05","3.3e-05",0.00438
"cg05552144","-0.00011509","3.42e-05",8e-04
"cg05561386","-6.66e-05","1.96e-05",0.000726
"cg05579549","-0.00012161","3.98e-05",0.00228
"cg05580415","0.00034849","0.00012541",0.00555
"cg05591126","-0.00022564","8.02e-05",0.00497
"cg05613273","0.00026093","8.86e-05",0.0033
"cg05622422","0.00031178","0.00010103",0.00208
"cg05625806","-9.08e-05","3.25e-05",0.00525
"cg05626616","-0.00028128","8.63e-05",0.00115
"cg05632623","-6.72e-05","2.42e-05",0.00564
"cg05636593","-0.00019503","3.3e-05",4.78e-09
"cg05637296","-0.00032251","8.77e-05",0.000247
"cg05641843","-0.00023361","8.18e-05",0.00437
"cg05651292","-0.00034946","9.92e-05",0.000447
"cg05653753","-0.00029299","9.93e-05",0.00324
"cg05654197","-0.0001392","3.39e-05",4.35e-05
"cg05668853","-0.00033507","0.00011844",0.00476
"cg05694563","-0.00030902","0.00010239",0.0026
"cg05717478","-0.00014665","5.21e-05",0.00499
"cg05717794","-0.0002479","7.62e-05",0.00118
"cg05724902","0.00057088","0.00013671",3.21e-05
"cg05726661","-0.00011135","3.04e-05",0.00026
"cg05735639","-0.00011561","3.18e-05",0.000285
"cg05766251","-0.0002834","0.00010089",0.00506
"cg05767562","0.0008207","0.00010651",3.01e-14
"cg05772917","0.00031208","0.00011568",0.00709
"cg05778440","-0.00013824","5.18e-05",0.00775
"cg05784862","-0.0002579","9.62e-05",0.00744
"cg05784951","-0.00011792","4.23e-05",0.00535
"cg05798107","-5.03e-05","1.8e-05",0.0053
"cg05810363","-0.00011247","3.02e-05",0.000208
"cg05824218","-0.00029502","8.97e-05",0.00103
"cg05842620","-0.00019855","6e-05",0.000977
"cg05844572","-0.00013996","5.17e-05",0.00691
"cg05844827","-0.00083749","0.0001918",1.39e-05
"cg05845928","-5.55e-05","1.73e-05",0.00134
"cg05850338","0.00058826","0.00013501",1.45e-05
"cg05852395","0.00033323","7.23e-05",4.59e-06
"cg05870631","-0.00036306","9.8e-05",0.000223
"cg05872923","-0.00036394","0.00011174",0.00116
"cg05879505","-7.45e-05","2.6e-05",0.00424
"cg05890279","-0.00013136","4.28e-05",0.0022
"cg05906777","-0.00034923","7.74e-05",7.09e-06
"cg05919238","0.00042978","9.58e-05",8.13e-06
"cg05919376","-0.00024227","7.01e-05",0.00057
"cg05928904","-0.00034384","7.71e-05",9.06e-06
"cg05953751","-0.00018992","6.65e-05",0.00437
"cg05979264","-0.00021529","7.23e-05",0.00299
"cg05982859","0.00024797","7.74e-05",0.00141
"cg05990312","-0.00056965","0.00014615",0.000103
"cg05991401","-0.00021762","5.82e-05",0.000194
"cg05992368","-0.0001721","6.34e-05",0.00675
"cg06013494","-0.00042974","0.00012889",0.000886
"cg06024215","-0.00049587","0.00010384",2.05e-06
"cg06026545","0.00039432","9.6e-05",4.3e-05
"cg06040872","0.00021008","6.3e-05",0.000882
"cg06041805","-0.00017705","5.34e-05",0.000939
"cg06052921","-6.58e-05","2.19e-05",0.00268
"cg06073302","0.00037604","6.03e-05",6.37e-10
"cg06076794","-8.45e-05","2.9e-05",0.00366
"cg06078469","-0.00039555","5.66e-05",4.94e-12
"cg06096677","0.00037009","0.00010659",0.000538
"cg06096901","-0.0001124","2.79e-05",5.93e-05
"cg06097533","-9.04e-05","3.35e-05",0.00704
"cg06105694","-0.00025615","6.06e-05",2.61e-05
"cg06105699","-0.00042609","0.00010855",9.23e-05
"cg06107104","-0.00021143","5.83e-05",0.000302
"cg06119016","-0.00022241","7.88e-05",0.00487
"cg06126658","-9.02e-05","2.74e-05",0.00103
"cg06126809","-0.00028307","8.44e-05",0.000828
"cg06128893","-0.00011716","2.87e-05",4.82e-05
"cg06130714","-0.00035633","4.15e-05",3.23e-17
"cg06132853","-0.00026148","7.03e-05",0.000212
"cg06143012","-0.00037796","0.00014014",0.00711
"cg06144905","-0.00064045","0.00010165",4.35e-10
"cg06151243","-8.58e-05","3.02e-05",0.00453
"cg06172732","-0.0002425","7.1e-05",0.000657
"cg06179971","-0.00017717","5.51e-05",0.00135
"cg06187500","-0.00013927","4.33e-05",0.00134
"cg06191091","-0.00019793","5.39e-05",0.000255
"cg06191536","-0.00029166","7.39e-05",8.49e-05
"cg06205172","-0.00035969","9.91e-05",0.000296
"cg06209035","0.00023302","7.94e-05",0.0034
"cg06209217","-0.00011538","4.27e-05",0.00696
"cg06233930","-0.00017889","5.42e-05",0.000997
"cg06234624","-0.00013072","4e-05",0.00112
"cg06234863","0.0002953","7.39e-05",6.9e-05
"cg06234966","-0.00013705","3.65e-05",0.000183
"cg06238004","0.0015675","0.00024222",1.49e-10
"cg06244240","-0.00067129","0.00012636",1.32e-07
"cg06245338","-0.00138222","0.00012716",3.7e-26
"cg06247837","0.00035352","0.00011002",0.00135
"cg06247967","-0.00033274","9.56e-05",0.00052
"cg06255609","-0.00020209","5.44e-05",0.000211
"cg06258461","-0.00026459","6.8e-05",0.000106
"cg06270615","-0.00038425","0.00012607",0.00236
"cg06315439","-0.00015227","5.49e-05",0.00561
"cg06315909","0.00029594","5.64e-05",1.9e-07
"cg06324037","-0.00017377","5.52e-05",0.00169
"cg06325889","-0.00017578","4.28e-05",4.27e-05
"cg06329491","0.00048241","8.03e-05",2.59e-09
"cg06330593","-0.0002161","6.74e-05",0.00138
"cg06331359","-0.00025868","6.92e-05",0.000195
"cg06331970","-0.00018061","6.14e-05",0.00333
"cg06357561","-0.00011619","3.82e-05",0.00243
"cg06359302","-0.00022498","6.34e-05",0.000401
"cg06365412","-0.00011884","3.92e-05",0.00251
"cg06366062","-8.4e-05","2.57e-05",0.00111
"cg06374249","-9.77e-05","3.4e-05",0.00413
"cg06374748","0.00060166","0.0001069",2.33e-08
"cg06375292","-0.00040839","6.06e-05",2.59e-11
"cg06376161","-0.00049006","8.57e-05",1.39e-08
"cg06407111","-0.00083141","9.9e-05",1.44e-16
"cg06408211","-0.00010978","3.18e-05",0.000573
"cg06409153","-0.00047381","0.00010334",5.09e-06
"cg06412669","-0.00054752","0.00012242",8.58e-06
"cg06417243","-0.000254","5.91e-05",1.91e-05
"cg06436667","0.00027324","6.15e-05",9.78e-06
"cg06437774","-0.00018473","5.22e-05",0.000421
"cg06442865","-7.84e-05","2.65e-05",0.00318
"cg06451822","0.00045684","8.93e-05",3.72e-07
"cg06452354","-6.73e-05","2.36e-05",0.00439
"cg06461408","-0.00013132","4.67e-05",0.00501
"cg06466027","-0.00010863","2.85e-05",0.000144
"cg06470279","0.00037103","0.00010857",0.000656
"cg06471905","0.00031115","6.38e-05",1.24e-06
"cg06474661","0.00015491","5.41e-05",0.00427
"cg06478195","-9.52e-05","2.59e-05",0.000243
"cg06479607","-0.00024752","7.37e-05",0.000808
"cg06484100","-0.00042972","9.61e-05",8.54e-06
"cg06485000","-0.00012408","3.61e-05",0.000607
"cg06491244","0.00030087","7.96e-05",0.000165
"cg06494844","-0.00023763","6.14e-05",0.000117
"cg06506499","-0.0002441","7.21e-05",0.000737
"cg06513247","-0.00029671","8.68e-05",0.000654
"cg06514003","0.00042083","0.0001421",0.00313
"cg06518763","-0.00027581","7.65e-05",0.000326
"cg06519044","-6.67e-05","2.27e-05",0.00346
"cg06524099","-9.02e-05","3.13e-05",0.00401
"cg06524162","-0.0002168","4.91e-05",1.13e-05
"cg06532163","-0.00045018","0.00015151",0.00303
"cg06550704","-0.00020561","7.18e-05",0.00429
"cg06553792","0.00088831","0.00010384",4.12e-17
"cg06555971","-0.00011613","3.89e-05",0.00292
"cg06557507","-0.00013881","5.2e-05",0.00775
"cg06566158","-0.00024163","8.56e-05",0.00486
"cg06568783","-0.00020323","7.49e-05",0.00677
"cg06569954","-0.00012049","4.21e-05",0.0043
"cg06578800","0.00056485","9.18e-05",1.08e-09
"cg06579248","-0.00018363","5.3e-05",0.000557
"cg06580879","-0.00019853","5.1e-05",0.000104
"cg06582663","-6.86e-05","2.27e-05",0.00257
"cg06590119","-0.00010697","3.6e-05",0.003
"cg06603325","0.00058677","0.00014436",5.17e-05
"cg06606753","-0.00026626","8.91e-05",0.00286
"cg06614257","-0.00019637","5.39e-05",0.00028
"cg06618629","-0.00084759","0.00013355",3.27e-10
"cg06625576","-0.00061594","8.67e-05",2.28e-12
"cg06625677","-9.33e-05","3.32e-05",0.00498
"cg06626750","0.0002819","9.92e-05",0.00456
"cg06648395","-6.88e-05","2.56e-05",0.00729
"cg06650256","-0.00040095","0.00011925",0.000801
"cg06663970","0.00023038","7.66e-05",0.00271
"cg06665453","-0.00072574","0.00010521",9.1e-12
"cg06677321","0.00051683","0.00014473",0.000372
"cg06679494","-0.00017446","4.15e-05",2.89e-05
"cg06680529","0.00027052","8.04e-05",0.000797
"cg06682330","0.00015634","5.23e-05",0.00285
"cg06685437","-0.00037324","0.00010089",0.000227
"cg06692929","-0.00015526","3.74e-05",3.65e-05
"cg06708315","-8.13e-05","2.95e-05",0.00597
"cg06710464","0.00033053","6.44e-05",3.47e-07
"cg06713261","-5.91e-05","2.14e-05",0.00595
"cg06722121","0.00037877","0.00012981",0.0036
"cg06752482","0.0002904","9.59e-05",0.00252
"cg06769994","0.000413","0.00012892",0.0014
"cg06773247","-0.00017917","5.46e-05",0.00106
"cg06797069","-0.00037341","8.69e-05",1.88e-05
"cg06800040","-0.000111","3.78e-05",0.0034
"cg06804311","-0.00012612","3.68e-05",0.000624
"cg06812840","-0.00036509","9.53e-05",0.000134
"cg06827038","-0.00030528","8.23e-05",0.000219
"cg06844165","-0.00015422","3.97e-05",0.000109
"cg06850526","-0.00073043","0.00012299",3.9e-09
"cg06852605","-6.73e-05","2.03e-05",0.000944
"cg06853339","-0.00125681","0.00023612",1.25e-07
"cg06856735","-0.00026901","8.92e-05",0.00263
"cg06857116","-0.00039664","0.00010645",0.000205
"cg06862644","-0.00017722","6.62e-05",0.00758
"cg06872055","-0.00016299","6.1e-05",0.0077
"cg06872548","0.00040913","0.00013777",0.00305
"cg06874016","-0.00052776","9.49e-05",3.42e-08
"cg06874426","0.00030153","9.28e-05",0.00119
"cg06893273","0.00108656","0.00016481",6.81e-11
"cg06901238","-0.00013824","4.65e-05",0.00303
"cg06911187","-0.00030271","4.58e-05",6.4e-11
"cg06912297","-0.00028782","6.46e-05",9.21e-06
"cg06940168","0.00043884","0.00015024",0.00356
"cg06942159","-0.00015617","5.51e-05",0.0047
"cg06942183","-0.00058882","0.00012112",1.34e-06
"cg06943316","-0.00012735","4.64e-05",0.00611
"cg06943627","0.00033206","9.03e-05",0.000249
"cg06957310","0.00028749","0.000103",0.00535
"cg06968912","-0.00076928","0.00016616",4.12e-06
"cg06970884","-9.42e-05","2.31e-05",4.75e-05
